Nama Stasiun,X,Y,Z,Curah Hujan
Manokwari Selatan,134.19000,-1.47000,20,128.9
Rendani,134.05041,-0.89227,3,88
Seigun,131.28575,-0.89118,0,400
Torea,132.26496,-2.91938,126,313.2
Utarom,133.75000,-3.67,5,284.9
